beforeCluster,I want to
1,As a Public User I want to Search for Information  so that I can obtain publicly available information concerning properties  County services  processes and other general information
1,As a l Staff member I want to search for Property information  so that I can obtain all associated current and historic owners  permits  and applications 
1,As a Staff member I want to Manage Ordinances  so that I can maintain accurate ordinance information in the System 
1,As an Applicant I want to Request PreApplication Assistance  so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance 
1,As an Applicant I want to Check the Status of a transaction  so that I can understand where the provisioning of my service is in the process  such as information related to service levels  fees  plan review  permit  or inspection results 
1,As a Zoning Staff member I want to Process the Requests for Zoning Information  so that I can capture my response to the request in the system and also send a communication from the system to the Applicant 
2,As a Customer I want to Create a Customer Portal User Account  so that I can log on to the Customer Portal and perform transactions that first require user authentication 
3,As an Applicant I want to Pay Fee  so that I can satisfy outstanding charge associated with the service requested or received from the County 
4,As an Applicant I want to Submit Application  so that I can provide my information  plans and or documents to initiate a transaction with the County 
4,As an Applicant I want to Modify my Application  so that I can successfully change information on an application 
4,As a Staff member I want to Assign an Application for Detailed Review  so that I can review the for compliance and subsequently approved or denied 
4,As a staff member I want to denote an application with a Final Action status  So that I can finish it 
4,As a Staff member I need to be notified when Geospatial attributes change  so that I can ensure that I am reviewing the permit application to the most current data and appropriate standards 
5,As a Staff member I want to Apply a Hold  so that I can prevent progression through the workflow or other actions in the system until the issue is resolved 
5,As a Staff member I want to Remove a Hold  so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved 
6,As a Staff member I want to Send a Formal Response to Applicant  so that I can satisfy communication and records responsibilities 
6,As a Staff member I want to Process the Appeals  so that I can track the outcome and record the impact on the relevant records 
7,As a Staff member I want to Track  the Draft Proffers  so that I can preserve the history of draft proffer statements submitted by the Applicant 
7,As a Staff member I want to Manage Approved Proffers  so that I can ensure compliance with and satisfaction of the proffer in the future 
8,As a Staff member I want to Perform a Completeness Review  so that I can validate when an application is complete and eligible for further technical review 
8,As a Staff member I want to Perform a Staff Review  so that I can validate compliance of an application with the Zoning Ordinance and impact approval denial of the application accordingly 
8,As a Plan Review Staff member I want to Assign Plans for Review  so that I can ensure plans have been assigned to the appropriate Plan Reviewer 
8,As a Plan Review Staff member I want to Track the Completion of Required Plan Reviews  so that I can ensure all plan review tasks are completed  results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance 
9,As a Planning Staff member I want to Generate Planning-related Reports  so that I can access  analyze and or export the needed information in the format I requested 
9,As a Staff member I want to Develop a Staff Report  so that I can publish and distribute the report according to business rules 
10,As a Staff member I want to Assign a Hearing Date  so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures 
10,As a Staff member I want to Manage Hearing Calendars  so that I can track hearing-related activities and due dates 
11,As a ProspectiveApplicant I want to research requirements and to select a service  so that I can find the relevant service and or application type to initiate via the online portal 
11,As an Applicant I want to Satisfy Hearing Requirements  so that I can ensure all pre-hearing requirements are satisfied in time for the hearing 
11,As a Staff member I want to Manage Affidavits  so that I can ensure compliance with the requirements prior to the hearing 
11,As an Applicant I want to Submit Supporting Documentation  so that I can satisfy documentation requirements for my application 
11,As a Staff member I want to Prepare for and Support Hearing Execution  so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing 
12,As a Staff member I want to Capture a Hearing Decision  so that I can enforce the system 
13,As a Staff member I want to Schedule a Meeting  so that I can bring the required parties together at a specific date time to address an issue 
13,As an Applicant I want to Request a Plan Review Meeting  so that I can meet with the Plan Review Staff regarding the plan review 
13,As a Plan Review Staff member I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome  so that I can listen to it again 
14,As a Plan Review Staff member I want to Review Plans  so that I can review them for compliance and either approve  or fail or deny the plans and record any conditions  clearances  or corrections needed from the Applicant 
14,As an Applicant I want to Resubmit Plans  so that I can review revised plans  
14,As an Applicant I want to Complete Building Development Project  so that I can receive any posted bond and or obtain occupancy 
